"","SampleName","Methods","Nhat","SE_low","SE_high","CI_lb","CI_ub"
"1","1","Chao1984",1137,1059.9446086681,1214.0553913319,1008,1314
"2","1","ChaoBunge2002",157175,-5413132.54506057,5727482.54506057,1366,29506254
"3","1","ACE-1",1464,1337.4489939262,1590.5510060738,1038,1285
"4","2","Chao1984",1263,1158.59461898444,1367.40538101556,1090,1504
"5","2","ChaoBunge2002",-3409,-6857.20228153645,39.2022815364476,-376,-16770
"6","2","ACE-1",1558,1409.46863993558,1706.53136006442,1057,1335
"7","3","Chao1984",1471,1348.09947941122,1593.90052058878,1265,1752
"8","3","ChaoBunge2002",-1476,-2178.22405827565,-773.775941724354,-493,-3363
"9","3","ACE-1",1958,1765.76477379102,2150.23522620898,1243,1575
"10","4","Chao1984",1053,978.945171255104,1127.0548287449,930,1223
"11","4","ChaoBunge2002",14774,-38971.196627524,68519.196627524,1053,362141
"12","4","ACE-1",1332,1212.17333669312,1451.82666330688,954,1195
"13","5","Chao1984",1093,1005.65182621012,1180.34817378988,949,1295
"14","5","ChaoBunge2002",-1206,-1823.10852782264,-588.891472177362,-362,-2899
"15","5","ACE-1",1612,1443.41038663886,1780.58961336114,1010,1297
"16","6","Chao1984",1272,1173.98400049188,1370.01599950812,1108,1496
"17","6","ChaoBunge2002",-2464,-4280.61317350645,-647.386826493552,-467,-8435
"18","6","ACE-1",1697,1532.26877965841,1861.73122034159,1128,1431
"19","7","Chao1984",1516,1412.0862826859,1619.9137173141,1340,1750
"20","7","ChaoBunge2002",-2186,-3381.17757356697,-990.822426433029,-634,-5614
"21","7","ACE-1",2161,1960.88909460338,2361.11090539662,1413,1767
"22","8","Chao1984",1062,983.916778590709,1140.08322140929,933,1242
"23","8","ChaoBunge2002",-2270,-4102.66417683966,-437.335823160342,-359,-8545
"24","8","ACE-1",1513,1359.29722592552,1666.70277407448,1000,1279
"25","9","Chao1984",1228,1136.89545752459,1319.10454247541,1076,1437
"26","9","ChaoBunge2002",-2336,-3998.58758823234,-673.412411767656,-465,-7701
"27","9","ACE-1",1699,1533.8423936819,1864.1576063181,1123,1421
"28","10","Chao1984",1531,1417.93364779918,1644.06635220082,1340,1787
"29","10","ChaoBunge2002",-2376,-3730.51784798217,-1021.48215201783,-661,-6346
"30","10","ACE-1",2034,1853.8360093209,2214.1639906791,1338,1658
"31","11","Chao1984",1351,1252.62830237305,1449.37169762695,1185,1574
"32","11","ChaoBunge2002",-1232,-1762.93833950191,-701.061660498085,-453,-2601
"33","11","ACE-1",2047,1843.55807223374,2250.44192776626,1276,1620
"34","12","Chao1984",1113,998.368418172384,1227.63158182762,927,1383
"35","12","ChaoBunge2002",-818,-1233.60466144094,-402.395338559062,-234,-1931
"36","12","ACE-1",1447,1279.57759112341,1614.42240887659,888,1169
"37","13","Chao1984",1353,1244.63385545849,1461.36614454151,1172,1601
"38","13","ChaoBunge2002",-1925,-3074.62544169202,-775.374558307984,-491,-5336
"39","13","ACE-1",1785,1611.94721934069,1958.05278065931,1168,1480
"40","14","Chao1984",1215,1107.04958354049,1322.95041645951,1036,1464
"41","14","ChaoBunge2002",-1433,-2271.85982774439,-594.140172255613,-361,-3872
"42","14","ACE-1",1596,1426.57539617713,1765.42460382287,1023,1322
"43","15","Chao1984",1734,1596.05613463389,1871.94386536611,1500,2045
"44","15","ChaoBunge2002",-1234,-1685.22823275254,-782.771767247458,-535,-2341
"45","15","ACE-1",2451,2211.41253165681,2690.58746834319,1504,1903
"46","16","Chao1984",1291,1200.57047431661,1381.42952568339,1139,1497
"47","16","ChaoBunge2002",-6132,-14776.7197758125,2512.71977581253,-387,-46044
"48","16","ACE-1",1681,1532.6087941726,1829.3912058274,1160,1440
"49","64","Chao1984",514,478.887561190088,549.112438809912,459,599
"50","64","ChaoBunge2002",941,650.303219916345,1231.69678008366,573,1793
"51","64","ACE-1",629,571.205677565678,686.794322434322,484,613
"52","65","Chao1984",520,477.145299245702,562.854700754299,453,625
"53","65","ChaoBunge2002",2286,-513.844003844609,5085.84400384461,531,15632
"54","65","ACE-1",674,598.761922097732,749.238077902268,479,632
"55","66","Chao1984",629,582.156700764887,675.843299235113,554,740
